clause_id,review_id,canonical_place_id,place_name,place_category,clause_index,clause_text,weak_aspects,manual_aspects,annotator_id,human_approved,annotation_notes
hotel-resto-v1_000005::c000,hotel-resto-v1_000005,place_00326,Hotel Ompu Herti,hotel_resto,0,"""Parkirnya luas",lainnya,parkir,A01,yes,Parkir luas = parkir
resto-hotel-v2_000008::c003,resto-hotel-v2_000008,place_00287,Tiara Bunga Hotel,hotel,3,Channel tv buram semua di setiap kamar,akomodasi,harga|akomodasi|fasilitas_umum,A01,yes,'keluarga' konteks umum; air panas (fasilitas) + budget (harga)
resto-hotel-v2_000008::c005,resto-hotel-v2_000008,place_00287,Tiara Bunga Hotel,hotel,5,Tidak ada wifi di kamar,akomodasi|harga|internet_sinyal,akomodasi|internet_sinyal,A01,yes,
resto-hotel-v2_000008::c006,resto-hotel-v2_000008,place_00287,Tiara Bunga Hotel,hotel,6,Lokasi hotel ditempuh pakai kapal,akomodasi|transportasi,transportasi|akomodasi,A01,yes,
resto-hotel-v2_000008::c008,resto-hotel-v2_000008,place_00287,Tiara Bunga Hotel,hotel,8,terpencil dengan jadwal kapal yang terbatas,transportasi,transportasi|jam_operasional,A01,yes,
resto-hotel-v2_000020::c007,resto-hotel-v2_000020,place_00287,Tiara Bunga Hotel,hotel,7,Ke hotel mesti nyebrang nunggu kapal.sebrang jadwal jam 2 berangkat nya ga ontime,akomodasi|transportasi,transportasi|akomodasi|jam_operasional,A01,yes,Jadwal jam 2 = jam operasional
resto-hotel-v2_000021::c002,resto-hotel-v2_000021,place_00287,Tiara Bunga Hotel,hotel,2,kamar mandi sebaiknya ada air panas,akomodasi|toilet,toilet|akomodasi,A01,yes,
resto-hotel-v2_000021::c006,resto-hotel-v2_000021,place_00287,Tiara Bunga Hotel,hotel,6,kondisi kapel sebaiknya diperbaiki agar pengunjung nyaman menikmati pemandangan dan dapat juga berdoa,pemandangan,fasilitas_umum|pemandangan,A01,yes,Kondisi kapel = fasilitas
resto-hotel-v2_000022::c003,resto-hotel-v2_000022,place_00287,Tiara Bunga Hotel,hotel,3,"The room service is great, food is good, view is superb",akomodasi|makanan|pelayanan|pemandangan,pelayanan|makanan|akomodasi|pemandangan,A01,yes,
resto-hotel-v2_000023::c001,resto-hotel-v2_000023,place_00287,Tiara Bunga Hotel,hotel,1,"kecewa banget dengan kondisi villa nya : kaca pecah, selimut koyak, lampu toilet rusak (ktnya dipakai utk siang hari saja 😅) banyak fasilitas rusak, tidak pantas dijual dengan harga segitu",fasilitas_umum|harga|toilet,toilet|harga|akomodasi|fasilitas_umum,A01,yes,"Kaca pecah, selimut koyak = akomodasi"
resto-hotel-v2_000026::c000,resto-hotel-v2_000026,place_00287,Tiara Bunga Hotel,hotel,0,"Layanan baik, lokasi hanya diakses menggunakan kapal",transportasi,transportasi|pelayanan,A01,yes,Layanan baik = pelayanan
resto-hotel-v2_000033::c000,resto-hotel-v2_000033,place_00287,Tiara Bunga Hotel,hotel,0,"i'm so sorry late to review, ^_^ 1st time holidaying here, remind me of a location in Central Java, so far this location makes me reminisce, and calms the soul, the hotel service is very good and perfect",akomodasi|pelayanan,pelayanan|akomodasi,A01,yes,
resto-hotel-v2_000036::c005,resto-hotel-v2_000036,place_00287,Tiara Bunga Hotel,hotel,5,"Ubin bepecahan, pintu kamar yang tidak ada beresnya",akomodasi|harga,akomodasi,A01,yes,
resto-hotel-v2_000121::c004,resto-hotel-v2_000121,place_00107,Hotel Santo Djaya,hotel,4,"Tapi modelan 20 tahun yg lalu dan ga ada remote nya ✓ harga super murah, ya pasti ga ada sarapan dong ✓ ga ada AC / kipas angin",harga,harga|akomodasi,A01,yes,
resto-hotel-v2_000141::c000,resto-hotel-v2_000141,place_00148,Nauli Inn,hotel,0,Menurut saya tolong kebersihan kamar hotel jg kmr mandinya diperhatikn kebersihannya krn smlm saya cek in kmrnya kotor dan berdebu juga kamar mandinya dan klosetnya kotor dan berbau,akomodasi|harga|kebersihan,kebersihan|akomodasi,A01,yes,
resto-hotel-v2_000146::c001,resto-hotel-v2_000146,place_00095,Grand Mareda Hotel,hotel,1,"kalo dari segi ekstetik hotel, kemantapan bangunan, dll.nya ya kurang",akomodasi,akomodasi,A01,yes,
resto-hotel-v2_000147::c001,resto-hotel-v2_000147,place_00095,Grand Mareda Hotel,hotel,1,Hmmm,lainnya,none,A01,yes,
resto-hotel-v2_000149::c002,resto-hotel-v2_000149,place_00095,Grand Mareda Hotel,hotel,2,"Saran.tolong beri tanda arah kiblat,krn wifi/internet ga terhubung.sulit mencari tanda kiblat",internet_sinyal,internet_sinyal,A01,yes,
resto-hotel-v2_000167::c001,resto-hotel-v2_000167,place_00189,Pudan Residence,hotel,1,cocok untuk beristirahat,lainnya,none,A01,yes,
resto-hotel-v2_000168::c002,resto-hotel-v2_000168,place_00189,Pudan Residence,hotel,2,Aku udh booking dari *god4 pas sampai penjaga nya blg Kok abg booking dri aplikasi Agoda pula Udh tutup kamar kami Refund aja bg Ya aku jg gk tau kalian udh tutup kamar Yg kutau di apliksi itu terbuka dan aku bisa pesan,akomodasi|jam_operasional,akses_jalan|pelayanan|akomodasi|jam_operasional,A01,yes,
resto-hotel-v2_000168::c003,resto-hotel-v2_000168,place_00189,Pudan Residence,hotel,3,Sumpah kecewa x,lainnya,none,A01,yes,
resto-hotel-v2_000169::c003,resto-hotel-v2_000169,place_00189,Pudan Residence,hotel,3,Dr jam 8 mlm sampe pagi jam 9 air tidak hidup,lainnya,akomodasi,A01,yes,"Air mati di kamar = akomodasi, bukan jam operasional"
resto-hotel-v2_000171::c003,resto-hotel-v2_000171,place_00189,Pudan Residence,hotel,3,ada ya hotel seperti ini,akomodasi,transportasi|harga|akomodasi|pemandangan|keramaian,A01,yes,Over-annotated; hotel + sewa motor + pemandangan + sepi + harga tiket
resto-hotel-v2_000183::c001,resto-hotel-v2_000183,place_00189,Pudan Residence,hotel,1,Harga yang murah menjadi nilai plus bagi hotel ini,akomodasi|harga,harga|akomodasi,A01,yes,
resto-hotel-v2_000214::c001,resto-hotel-v2_000214,place_00199,RAP Hotel Balige,hotel,1,"Sarapan, biasa aja",lainnya,makanan,A01,yes,Sarapan biasa aja = membahas makanan
resto-hotel-v2_000217::c005,resto-hotel-v2_000217,place_00199,RAP Hotel Balige,hotel,5,"Pokoknya semua yang ada di kamar dan toilet dll kotor, seperti tidak ada yang bersihkan, cat kamar sudah kotor, perlu dicat ulang",akomodasi|harga|kebersihan|toilet,kebersihan|toilet|akomodasi,A01,yes,Tidak ada harga
resto-hotel-v2_000217::c007,resto-hotel-v2_000217,place_00199,RAP Hotel Balige,hotel,7,Internet: bandwidth minimal/ tidak kuat - Di luar di koridor TERTULIS bahwa Anda diharap todak berisik,internet_sinyal|keramaian,keramaian|internet_sinyal,A01,yes,
resto-hotel-v2_000217::c009,resto-hotel-v2_000217,place_00199,RAP Hotel Balige,hotel,9,"Dari jam 4.30 pagi, ada seekor ayam jantan berkokok dengan keras di sebelah hotel",akomodasi,akomodasi|jam_operasional,A01,yes,
resto-hotel-v2_000217::c014,resto-hotel-v2_000217,place_00199,RAP Hotel Balige,hotel,14,"di booking.com saat ini 6,6 (silahkan lihat di Booking.com) Untuk kondisi saat ini masih terlalu tinggi menurut saya, karena kondisi hotel kotor, ribut, dan tidak ramah staffs-nya",akomodasi|kebersihan|pelayanan,kebersihan|pelayanan|akomodasi,A01,yes,
resto-hotel-v2_000218::c002,resto-hotel-v2_000218,place_00199,RAP Hotel Balige,hotel,2,I can't break anything in this room,akomodasi,akomodasi|keramaian,A01,yes,"'pagi' konteks; ayam berkokok = keramaian/kebisingan, bukan jam operasional"
resto-hotel-v2_000218::c008,resto-hotel-v2_000218,place_00199,RAP Hotel Balige,hotel,8,Breakfast is supposed to be nasi goreng with the coffee powder in the room,akomodasi,makanan|akomodasi,A01,yes,
resto-hotel-v2_000219::c004,resto-hotel-v2_000219,place_00199,RAP Hotel Balige,hotel,4,"Raum / Bad schmuddelig (siehe Bilder) - Internet: wenig Bandbreite - Draußen im Gang steht, dass man sich ruhig verhalten soll",internet_sinyal,internet_sinyal,A01,yes,
resto-hotel-v2_000219::c013,resto-hotel-v2_000219,place_00199,RAP Hotel Balige,hotel,13,"Dies ist kein Hotel, eher ein Boarding House",akomodasi,akomodasi,A01,yes,
resto-hotel-v2_000229::c002,resto-hotel-v2_000229,place_00199,RAP Hotel Balige,hotel,2,Lokasi tidak terlalu jauh dari kota,lainnya,akses_jalan,A01,yes,Lokasi tidak jauh dari kota = membahas akses/jarak
resto-hotel-v2_000268::c000,resto-hotel-v2_000268,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,0,"Bad Service, kami datang, bolak balek datangi pelayan",pelayanan,pelayanan,A01,yes,
resto-hotel-v2_000278::c006,resto-hotel-v2_000278,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,6,"dengan cara yang fair harga disesuaikan dengan potongan/porsi makanan,pelayanan nya juga harus bagus setiap tamu yang datang minimal disambut",harga|makanan|pelayanan,harga|pelayanan|makanan,A01,yes,
resto-hotel-v2_000291::c001,resto-hotel-v2_000291,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,1,"Karinya pas, suasananya sejuk, pekerjanya jugak ramah2",lainnya,pelayanan|makanan,A01,yes,"Kari (makanan) + pekerja ramah (pelayanan), bukan pemandangan"
resto-hotel-v2_000372::c000,resto-hotel-v2_000372,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,0,Terlalu mahal,harga,harga,A01,yes,
resto-hotel-v2_000392::c000,resto-hotel-v2_000392,place_00261,Sinar Minang Restaurant & Convention Hall,restoran,0,Karena ramai jadi sepertinya kurang memperhatikan pesanan pelanggan,keramaian,keramaian,A01,yes,
resto-hotel-v2_000423::c001,resto-hotel-v2_000423,place_00057,Brussels Homestay,hotel,1,"However, there wasn't a fan in the room, which would have helped keep things cooler",akomodasi,toilet|pelayanan,A01,yes,"Menunggu kamar mandi = toilet + pelayanan, bukan jam operasional/akomodasi"
resto-hotel-v2_000428::c000,resto-hotel-v2_000428,place_00254,SAPADIA VILLA BALIGE II,hotel,0,"Bersih, kamar lebar, cocok untuk bawa keluarga, dekat ke kota, gampang bisa jalan kaki untuk cari makanan di luar",akomodasi|akses_jalan|kebersihan|makanan,akses_jalan|kebersihan|makanan|akomodasi|aksesibilitas,A01,yes,
resto-hotel-v2_000438::c000,resto-hotel-v2_000438,place_00101,Hotel Adela,hotel,0,"Pelayanannya bagus tp masih minus fasilitas terutama WiFi, masih pilih kasih klau kamar harga mahal bisa WiFi nya klau kamar harga murah GK bisa pake WiFi",akomodasi|harga|internet_sinyal,harga|akomodasi|fasilitas_umum|internet_sinyal,A01,yes,
resto-hotel-v2_000440::c000,resto-hotel-v2_000440,place_00101,Hotel Adela,hotel,0,Hotel termurah klo ke balige,akomodasi,akomodasi,A01,yes,
resto-hotel-v2_000444::c000,resto-hotel-v2_000444,place_00101,Hotel Adela,hotel,0,"Paten, tempat yang bagus dengan pelayanan yang Ramah",pelayanan,pelayanan,A01,yes,
resto-hotel-v2_000468::c001,resto-hotel-v2_000468,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,1,👌,lainnya,none,A01,yes,
resto-hotel-v2_000470::c000,resto-hotel-v2_000470,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,0,GOOD EXPERIENCE,lainnya,none,A01,yes,
resto-hotel-v2_000532::c000,resto-hotel-v2_000532,place_00077,Damar Toba ~ Lakeside Eatery & Stay,restoran,0,Nice view and good food,makanan|pemandangan,makanan|pemandangan,A01,yes,
