review_id,canonical_place_id,place_name,place_category,reviewer_rating,review_text_raw,weak_sentiment_label,manual_sentiment_label,annotation_confidence,annotation_notes,annotator_id,human_approved
resto-hotel-v2_000141,place_00148,Nauli Inn,hotel,1.0,Menurut saya tolong kebersihan kamar hotel jg kmr mandinya diperhatikn kebersihannya krn smlm saya cek in kmrnya kotor dan berdebu juga kamar mandinya dan klosetnya kotor dan berbau..,negative,negative,high,,A01,yes
resto-hotel-v2_000678,place_00296,Vany Villa Balige,hotel,1.0,"Saya pribadi kurang merekomendasikan villa ini. Staf kurang berpengalaman menghadapi tamu.. jauh dr mana2. View tidak ada, banyak nyamuk, gersang..",negative,negative,high,,A01,yes
resto-hotel-v2_001395,place_00195,Purnama Balige Hotel,hotel,2.0,Disappointing When we checked in we were directed to rooms across the road from the main ...,negative,negative,high,,A01,yes
resto-hotel-v2_001396,place_00195,Purnama Balige Hotel,hotel,2.0,When we checked in we were directed to rooms across the road from the main hotel. We werent made aware of this on booking.com|Rooms are basic -not particularly clean- net curtain was dirty. Watch the corners of the beds they are ...,negative,negative,high,,A01,yes
resto-hotel-v2_001409,place_00195,Purnama Balige Hotel,hotel,2.0,We booked this hotel after seeing a travel influencer’s YouTube video but it was a huge letdown. ...,negative,negative,high,,A01,yes
resto-hotel-v2_001419,place_00195,Purnama Balige Hotel,hotel,2.0,"Harga terlalu mahal dengan fasilitas kamar yg biasa saja , makanan kurang bervariasi , staff yg cukup berisik 😩😩 hotel seperti pasar malam , ...",negative,negative,high,,A01,yes
resto-hotel-v2_001423,place_00195,Purnama Balige Hotel,hotel,1.0,"Hati Hati dengan hotel ini, sudah sering dan banyak korban ternyata. Sudah pesan jauh hari, saat sudah sampai malah dibilang overbook, sayang sekali ...",negative,negative,high,,A01,yes
resto-hotel-v2_001451,place_00195,Purnama Balige Hotel,hotel,2.0,"View hotel sih seng ada lawan, tapi service dan keramahan seng ada lawan juga (buruknya) hahahahah.. Money well WASTED here..",negative,negative,high,,A01,yes
resto-hotel-v2_001485,place_00195,Purnama Balige Hotel,hotel,1.0,Pelayanannya sangat mengecewakan.... Titik,negative,negative,high,,A01,yes
resto-hotel-v2_001489,place_00195,Purnama Balige Hotel,hotel,2.0,"Di seprainya masih ada rambut, exhaust kamar mandi mati. Sisanya ok",negative,negative,high,,A01,yes
resto-hotel-v2_001610,place_00264,SIPPIN,restoran,1.0,"gabole req lagu, pelayanan tida ramah",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_001611,place_00264,SIPPIN,restoran,1.0,pelayanannya sangat cuek,negative,negative,high,,A01,yes
resto-hotel-v2_001618,place_00264,SIPPIN,restoran,1.0,"Pesan Thai Tea Cookies, isinya es semua :( cookiesnya entah kemana",negative,negative,high,,A01,yes
resto-hotel-v2_003611,place_00034,Bakso Pak Radit (Bakso Khas Malang),restoran,2.0,"Baksonya enak, tapi mie ayamnya kurang menurut saya, kurang kena gitu",negative,negative,medium,mixed_sentiment,A01,yes
resto-hotel-v2_004086,place_00329,Kedai Bakmi Bahagia Sukaria,hotel_resto,2.0,Masakannya dominan rasa kecap manis dan micin,negative,negative,medium,,A01,yes
