aspect_id,weak_label_count,weak_label_rate,weak_negative_count,weak_negative_rate,positive_review_count,neutral_review_count,negative_review_count
lainnya,5075,0.41361043194784025,0,0.0,4437,295,341
pemandangan,2522,0.20554197229013854,378,0.03080684596577017,2278,139,103
makanan,2378,0.19380603096984514,306,0.02493887530562347,1875,160,339
pelayanan,1819,0.1482477587612062,293,0.023879380603096984,1382,99,332
harga,1508,0.12290138549307253,695,0.05664221678891605,1075,144,287
kebersihan,1314,0.10709046454767726,333,0.027139364303178485,1049,97,165
akomodasi,957,0.07799511002444988,323,0.02632436837815811,718,88,146
akses_jalan,644,0.05248573757131214,332,0.027057864710676446,510,64,70
keramaian,493,0.040179299103504484,275,0.02241238793806031,407,37,48
parkir,359,0.02925835370823146,145,0.011817440912795437,281,37,41
toilet,341,0.027791361043194785,159,0.01295843520782396,239,42,59
budaya,294,0.023960880195599023,37,0.0030154849225753873,255,24,15
fasilitas_umum,122,0.009942950285248574,53,0.004319478402607987,97,15,10
keamanan,115,0.009372453137734311,43,0.003504482477587612,87,14,14
transportasi,76,0.006193969030154849,14,0.0011409942950285248,63,5,8
internet_sinyal,50,0.004074979625101874,23,0.0018744906275468623,34,5,10
oleh_oleh,43,0.003504482477587612,3,0.00024449877750611245,35,5,3
jam_operasional,41,0.003341483292583537,39,0.003178484107579462,22,3,16
aksesibilitas,31,0.002526487367563162,31,0.002526487367563162,20,5,6
