clause_id,review_id,canonical_place_id,manual_aspects,split,split_version,gold_semantic_sha256
wisata-v2_009431::c002,wisata-v2_009431,place_00006,none,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009450::c001,wisata-v2_009450,place_00006,toilet,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009456::c000,wisata-v2_009456,place_00006,parkir|toilet|harga|makanan|pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009472::c000,wisata-v2_009472,place_00006,toilet|pelayanan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009505::c000,wisata-v2_009505,place_00006,none,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009506::c003,wisata-v2_009506,place_00006,fasilitas_umum,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009514::c004,wisata-v2_009514,place_00006,parkir,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009543::c002,wisata-v2_009543,place_00006,keamanan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009559::c000,wisata-v2_009559,place_00006,parkir|harga|fasilitas_umum|pemandangan|aksesibilitas,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009563::c000,wisata-v2_009563,place_00006,parkir|pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009584::c000,wisata-v2_009584,place_00006,pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_009600::c002,wisata-v2_009600,place_00006,parkir|harga,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
tempat-wisata-v1_000035::c002,tempat-wisata-v1_000035,place_00013,akses_jalan|pemandangan|keramaian,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_008896::c000,resto-hotel-v2_008896,place_00027,akses_jalan|kebersihan|harga|makanan|jam_operasional,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_004397::c002,resto-hotel-v2_004397,place_00036,none,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
tempat-wisata-v1_000077::c001,tempat-wisata-v1_000077,place_00040,none,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007252::c000,wisata-v2_007252,place_00040,budaya,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007254::c000,wisata-v2_007254,place_00040,jam_operasional,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007266::c001,wisata-v2_007266,place_00040,kebersihan|budaya,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007288::c003,wisata-v2_007288,place_00040,budaya,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007299::c000,wisata-v2_007299,place_00040,budaya,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007300::c000,wisata-v2_007300,place_00040,budaya,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007300::c003,wisata-v2_007300,place_00040,oleh_oleh,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007300::c005,wisata-v2_007300,place_00040,parkir,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007303::c005,wisata-v2_007303,place_00040,toilet|akomodasi|oleh_oleh,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007308::c003,wisata-v2_007308,place_00040,oleh_oleh,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
wisata-v2_007312::c014,wisata-v2_007312,place_00040,makanan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005339::c003,resto-hotel-v2_005339,place_00047,kebersihan|toilet,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005339::c009,resto-hotel-v2_005339,place_00047,parkir|harga,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005357::c001,resto-hotel-v2_005357,place_00047,pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005370::c005,resto-hotel-v2_005370,place_00047,pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005378::c000,resto-hotel-v2_005378,place_00047,pemandangan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005396::c002,resto-hotel-v2_005396,place_00047,pelayanan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005443::c000,resto-hotel-v2_005443,place_00047,makanan,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
resto-hotel-v2_005450::c000,resto-hotel-v2_005450,place_00047,parkir,test,v2-multilabel-balance,5d255a34ca8590bf4a86fcb9ae1bedac296513e056e44dd9020882f7732929a9
