feature_set,c_value,negative_class_weight,threshold,validation_precision,validation_recall,validation_f1,validation_f_beta,validation_balanced_accuracy,validation_average_precision,training_seconds
word_char,1.0,3.0,0.5049999999999999,0.6979166666666666,0.9571428571428572,0.8072289156626506,0.8909574468085106,0.847940797940798,0.8663357880773428,0.15954469999996945
word_char,1.0,4.0,0.5449999999999999,0.6979166666666666,0.9571428571428572,0.8072289156626506,0.8909574468085106,0.847940797940798,0.8648855019608678,0.13667870000062976
word_char,1.0,2.0,0.4499999999999999,0.6979166666666666,0.9571428571428572,0.8072289156626506,0.8909574468085106,0.847940797940798,0.8635636752993744,0.1406658999985666
word_char,0.3,4.0,0.615,0.6601941747572816,0.9714285714285714,0.7861271676300579,0.8877284595300261,0.828056628056628,0.8563406385885932,0.13613579999946523
word_char,3.0,4.0,0.4749999999999999,0.717391304347826,0.9428571428571428,0.8148148148148148,0.8870967741935484,0.8543114543114543,0.8658712490289634,0.13502040000093984
word_char,3.0,2.0,0.39499999999999996,0.717391304347826,0.9428571428571428,0.8148148148148148,0.8870967741935484,0.8543114543114543,0.8639555094217225,0.1644559999986086
word,3.0,3.0,0.4649999999999999,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670886,0.7972972972972974,0.8627079296134796,0.04960600000049453
word,3.0,4.0,0.49999999999999994,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670886,0.7972972972972974,0.8605548211176299,0.04880299999786075
word,3.0,2.0,0.4099999999999999,0.6086956521739131,1.0,0.7567567567567568,0.8860759493670886,0.7972972972972974,0.8601407792217617,0.03761589999703574
word_char,0.3,3.0,0.5599999999999999,0.6538461538461539,0.9714285714285714,0.7816091954022989,0.8854166666666666,0.8235521235521235,0.8590980828088749,0.1640780999987328
word_char,0.3,2.0,0.48999999999999994,0.6538461538461539,0.9714285714285714,0.7816091954022989,0.8854166666666666,0.8235521235521235,0.8570026625900722,0.13449630000104662
word_char,3.0,3.0,0.42499999999999993,0.7096774193548387,0.9428571428571428,0.8098159509202454,0.8847184986595175,0.8498069498069498,0.8653193734165276,0.1611592000008386
word,1.0,4.0,0.605,0.7032967032967034,0.9142857142857143,0.7950310559006211,0.862533692722372,0.8355212355212356,0.8479988945260827,0.0428012000011222
word,1.0,2.0,0.48499999999999993,0.6881720430107527,0.9142857142857143,0.7852760736196319,0.8579088471849866,0.8265122265122264,0.8492902594321712,0.03492689999984577
word,1.0,3.0,0.5549999999999999,0.6881720430107527,0.9142857142857143,0.7852760736196319,0.8579088471849866,0.8265122265122264,0.8481245189172152,0.043738399999710964
word,0.3,2.0,0.5399999999999999,0.6966292134831461,0.8857142857142857,0.779874213836478,0.8401084010840109,0.8212355212355212,0.8268298122138091,0.03296129999944242
word,0.3,4.0,0.6699999999999999,0.6813186813186813,0.8857142857142857,0.7701863354037267,0.8355795148247979,0.8122265122265122,0.8300588534572234,0.03057460000127321
word,0.3,3.0,0.615,0.6813186813186813,0.8857142857142857,0.7701863354037267,0.8355795148247979,0.8122265122265122,0.8292570164546958,0.05961169999864069
