topic_id,review_count,review_share,dominant_place_category,dominant_weak_sentiment,mean_topic_strength,top_keywords,mapped_initial_aspect,taxonomy_keyword_hits,representative_reviews
10,4615,0.376120619396903,wisata,positive,0.02554079116379395,"tidak, air, ramah, pelayanan, kurang, bersih, makan, makanan, harga, kamar, cukup, masuk, lagi, jalan, hanya",akses_jalan,2,"IM SO SORRY BUT THIS CAFE IS DEF ONE THE WORST CAFE OR RESTO THAT I EVER CAME. Based on my experience ya ini honest review. Pertama, saya kesini pada pukul 7 atau 8 malam bersama keluarga saya kurang lebih 10 orang. Di hari saya datang resto tidak ramai hanya terdapat 3 rombongan tamu dengan jumlah  || Tidak proporsional, seperti kate || Saya tidak berkomentar."
9,1314,0.10709046454767726,wisata,positive,0.04997287451768858,"nice, view, place, nice view, nice place, food, great, lake, beautiful, amazing, lake toba, clean, friendly, view lake, staff",pelayanan,3,Nice || Nice!! || Nice
0,1183,0.09641401792991035,wisata,positive,0.06683495841381648,"bagus, pemandangan bagus, view bagus, pemandangan, view, bagus banget, bagus bersih, bagus sekali, banget, bagus nyaman, pelayanan bagus, sekali, lokasi bagus, viewnya, pemandangannya",pemandangan,3,tempatnya bagus || Tempat yg bagus || Sangat bagus
3,1157,0.09429502852485737,restoran,positive,0.07114563389690376,"enak, makanan, makanan enak, makanannya, makanannya enak, ramah, enak pelayanan, enak harga, makan, pelayanan, banget, enak banget, terjangkau, harga, ikan",makanan,3,Enak || Enak || Enak
4,978,0.07970660146699267,wisata,positive,0.06264323506490435,"toba, danau, danau toba, view, view danau, pemandangan, pemandangan danau, langsung, menikmati, toba indah, bukit, lake, melihat, keindahan, lake toba",pemandangan,5,View danau toba || View danau toba 👍👍 || Asri dengan few danau toba
8,692,0.05639771801140994,wisata,positive,0.08003670795733506,"nyaman, bersih, bersih nyaman, nyaman bersih, sejuk, bagus nyaman, suasana, keluarga, indah nyaman, suasana nyaman, tenang, sejuk nyaman, enak nyaman, cocok, hotel",akomodasi,2,Nyaman || Tempat yg nyaman || Tempat nya nyaman dan mengedukasi
2,640,0.05215973920130399,wisata,positive,0.07461859306212469,"indah, pemandangan, pemandangan indah, sejuk, indah sekali, pemandangannya, pemandangannya indah, indah nyaman, sekali, indah pemandangan, bagus indah, sungguh indah, sungguh, view indah, asri",pemandangan,3,Indah || Sangat indah || Tempatnya indah geografis
5,484,0.039445802770986145,wisata,positive,0.10396289882443369,"biasa, luar, luar biasa, pemandangan luar, pemandangan, lezat, biasa aja, restoran, aja, sungguh, biasa indah, makanannya, sungguh luar, pengalaman, malam",makanan,1,Luar biasa || Tempat yang luar biasa || Luar biasa
1,425,0.03463732681336593,wisata,positive,0.1534349946346476,"mantap, mantap kali, oke, mantap enak, rasanya, mantap lah, view mantap, bagus mantap, pokoknya, rasa, la, kali, pelayanan mantap, viewnya, view",pelayanan,1,Mantap || mantap || Mantap..
7,345,0.028117359413202935,restoran,positive,0.1011294163838111,"good, food, place, good place, good food, good view, service, food good, place good, friendly, price, staff, restaurant, good service, great",pelayanan,4,Everything was good || Good || Good
6,245,0.019967400162999183,wisata,positive,0.13149019014443697,"keren, keren banget, banget, cantik, view keren, keren sekali, sekali, viewnya keren, keren bagus, viewnya, bersih, view, bagus keren, sih, pantai",pemandangan,5,Keren.. || Keren || Tempat yang keren
11,192,0.015647921760391197,wisata,positive,0.14902286036761964,"ok, pelayanan ok, pelayanan, banget, makanan ok, pemandangan ok, pemandangan, kali, bagus pelayanan, harga, lah, recommended, makanannya, mantab, ok lah",harga,1,Ok || ok || OK
