sheet_name,rows,observed_non_empty_rows,columns,duplicate_rows,formula_cell_count,error_cell_count,column_names
hotel-resto-v1,219,9,25,209,0,0,place | rating | type | review | htm | facilitates | add | service-hour | __blank_column_9 | __blank_column_10 | __blank_column_11 | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25
resto-hotel-v2,9811,9611,8,248,4,0,place-name | reviewer-id | name | reviewer-rating | review-text | published-at | collect-date | reviewer-type
tempat-wisata-v1,296,96,25,200,0,0,place | type | entry-fee | rating | addons | add | service-hour | review | __blank_column_9 | __blank_column_10 | __blank_column_11 | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25
wisata-v2,12891,12691,7,233,0,0,place-name | reviewer-id | name | reviewer-rating | review-text | published-at | collect-date
wisata-metadata,339,139,28,199,0,0,place-id | place-name | place-type | entry-fee | lat-long | operational-hour | address | place-rating | status | operational-day | place-ownership | description | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25 | __blank_column_26 | __blank_column_27 | __blank_column_28
hotel-metadata,236,36,28,199,0,0,place-id | place-name | price-per-head | check-in | check-out | recommend-menu | Fasilitas | address | lat-long | place-type | place-rating | status | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25 | __blank_column_26 | __blank_column_27 | __blank_column_28
resto-metadata,348,148,27,199,0,0,place-id | place-name | price-per-head | opening-hours | recommend-menu | Fasilitas | address | lat-long | place-type | place-rating | status | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25 | __blank_column_26 | __blank_column_27
transportasi,219,16,20,202,0,0,transport-id | transport-name | direction | price | jenis-mobil | description | operational-hour | __blank_column_8 | __blank_column_9 | __blank_column_10 | __blank_column_11 | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20
kuliner,219,12,23,206,0,0,kuliner-id | kuliner-name | description | __blank_column_4 | __blank_column_5 | __blank_column_6 | __blank_column_7 | __blank_column_8 | __blank_column_9 | __blank_column_10 | __blank_column_11 | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23
Attractions Info,15,15,8,0,0,0,No | Nama Kabupaten | Nama Atraksi | Detail | __blank_column_5 | __blank_column_6 | __blank_column_7 | __blank_column_8
Artikel Danau Toba,6,6,5,0,0,0,No | Judul Artikel | Kabupaten | Rangkuman (Paragraf Awal) | Link Artikel
Info Seputar Danau Toba (TOP 3),31,29,69,1,0,0,__blank_column_1 | __blank_column_2 | __blank_column_3 | __blank_column_4 | __blank_column_5 | __blank_column_6 | __blank_column_7 | __blank_column_8 | __blank_column_9 | __blank_column_10 | __blank_column_11 | __blank_column_12 | __blank_column_13 | __blank_column_14 | __blank_column_15 | __blank_column_16 | __blank_column_17 | __blank_column_18 | __blank_column_19 | __blank_column_20 | __blank_column_21 | __blank_column_22 | __blank_column_23 | __blank_column_24 | __blank_column_25 | __blank_column_26 | __blank_column_27 | __blank_column_28 | __blank_column_29 | __blank_column_30 | __blank_column_31 | __blank_column_32 | __blank_column_33 | __blank_column_34 | __blank_column_35 | __blank_column_36 | __blank_column_37 | __blank_column_38 | __blank_column_39 | __blank_column_40 | __blank_column_41 | __blank_column_42 | __blank_column_43 | __blank_column_44 | __blank_column_45 | __blank_column_46 | __blank_column_47 | __blank_column_48 | __blank_column_49 | __blank_column_50 | __blank_column_51 | __blank_column_52 | __blank_column_53 | __blank_column_54 | __blank_column_55 | __blank_column_56 | __blank_column_57 | __blank_column_58 | __blank_column_59 | __blank_column_60 | __blank_column_61 | __blank_column_62 | __blank_column_63 | __blank_column_64 | __blank_column_65 | __blank_column_66 | __blank_column_67 | __blank_column_68 | __blank_column_69
waktu operasional destinasi,40,40,8,0,0,0,NO | KABUPATEN | OBJEK / DESTINASI WISATA | FASILITAS UMUM | FASILITAS PENUNJANG | ALAMAT | WAKTU OPERASIONAL | RATING BPODT
prompt,219,6,5,212,0,0,__blank_column_1 | __blank_column_2 | __blank_column_3 | __blank_column_4 | __blank_column_5
